,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
71,Somebody’s Son (Ft Brandy),Water & Garri,Tiwa Savage,2021-08-20,218130,62,0.705,0.145,0.705,0.809,5.75e-05,0.216,-4.484,0.068,107.21,4
72,Track & Field (feat. Kali),Track & Field (feat. Kali),Enchanting,2021-08-10,138001,58,0.787,0.0373,0.787,0.436,0.0,0.173,-8.622,0.383,156.122,3
73,Coastin’,Coastin’,Victoria Monét,2021-08-05,175319,65,0.807,0.0264,0.807,0.481,1.28e-06,0.112,-7.362,0.0713,91.005,4
74,concussion,concussion,girlhouse,2021-08-27,277142,55,0.554,0.801,0.554,0.477,0.00552,0.0944,-8.335,0.0247,167.973,4
75,Pick Apart,Pick Apart,Samantha Crain,2021-08-27,215793,39,0.636,0.0233,0.636,0.668,0.000103,0.233,-5.861,0.0282,117.003,4
76,MOJO (with Eva Shaw),MOJO (with Eva Shaw),G Milla,2021-06-25,176103,28,0.873,0.0799,0.873,0.679,0.0,0.0912,-6.801,0.429,76.981,4
77,You Can Do It,You Can Do It,Caribou,2021-08-24,228807,57,0.696,0.753,0.696,0.657,0.124,0.116,-9.531,0.0499,128.044,4
78,Sugar,Untourable Album,Men I Trust,2021-08-25,176315,63,0.823,0.647,0.823,0.461,0.327,0.14,-12.75,0.0366,114.026,4
79,Girls,Girls,BLK,2021-08-24,190839,36,0.827,0.0981,0.827,0.49,0.0,0.0827,-9.08,0.0813,121.994,4
80,ULTRA VIOLET,CLAIRVOYANCE,Thouxanbanfauni,2020-07-21,157944,69,0.632,0.118,0.632,0.714,0.926,0.12,-8.924,0.063,159.938,4
81,You Can Do It,You Can Do It,Caribou,2021-08-24,228807,58,0.676,0.752,0.676,0.652,0.137,0.115,-9.539,0.0613,128.046,4
82,Keeper (feat. A Boogie Wit da Hoodie),GEEZYWORLD,OHGEESY,2021-08-27,169696,69,0.647,0.0755,0.647,0.483,0.0,0.138,-7.59,0.11,98.87,4
83,Wow Wow (feat. Becky G),Animal,Maria Becerra,2021-08-26,199772,69,0.744,0.0654,0.744,0.679,0.00429,0.0966,-3.51,0.0791,176.024,4
